Year,No,Name,Topic,Summary
110,1,陳澤義,透過行動計劃提升進修學士班學生學習態度與能力之研究,本計畫旨在探討國立臺北大學進修學士班，影響在學學生的學習態度與能力之相關行動方案的情形，即探究進修學士班學生的三種行動方案、學習態度、學習能力、學習後的生活增能、工作增能之內涵。本研究計畫係採用問卷調查法，並以一一零學年度進修學士班九個系所，全體在學生為問卷調查的研究對象。在全部進修部學生人數1913人中，本計劃在2021年4-5月間取得340份有效樣本，占17.73%，問卷結果尚具代表性。透過SPSS統計軟體分析，結果顯示學生的生活適能主要來自於: (1)良好的人際關係、(2)上進的學習態度、(3) 認識自己；至於在學習態度方面，學生認為主要困境來自於: (a)個人健康狀況；(b)學習感到厭倦；(c)學科感到厭惡。在課業TA、雙師業師、專業閱覽室三種學習行動方案中，學生最希望選擇擁有雙師業師，再者為(數位)TA。但是，再經由部分最小平方法模型的分析結果，影響學生學習能力與學習態度的因素，主要來自於課業TA，其迴歸係數最大且全部顯著；至於雙師業師與專業閱覽室則較小，且在不同年齡層皆呈現類似的結果，即不會因為不同年齡有顯著差異。此一結果與前述學生的直接比較選擇的結果，呈現明顯的不同結果。在個別學院中，商學院，與公共事務學院則相對的對於數位較學助理的需求最殷，至於社會科學院則是比較需要雙師/業師的浥注。而法學院則是較需要專業閱覽室的設置。
110,2,蘇南誠,完善就學協助機制對經濟不利學生之影響,近年來，透過高等教育深耕計畫與各企業與民間團體設立的獎助學金，臺北大學補助無數弱勢學生，期待能在學生求學生涯中，減輕經濟或非經濟上之壓力，因此，如何分配有限補助金，使其效益提升為政策之重要議題。 <br><br>本計畫透過國立臺北大學105-109年度在校學生之性別、年級、補助金、弱勢身份別、各項補助金、修課數、在學參與活動情況、休退學與學年平均 PR成績來檢視現有政策下對於弱勢學生的補助，於校園學習是否有顯著效益。利用敘述統計、卡方檢定、羅吉斯與一般線性迴歸及結構方程模型來呈現客觀數據與論證本研究之三個假設：校園投入程度與個人背景、弱勢身份別與助學補助措施有關；學習發展與校園投入程度、個人背景、弱勢身份別、助學補助措施有關；學習發展與個人背景、弱勢身份別、助學補助措施之關聯會受校園投入程度影響。  
110,3,白惠明,本校107~108學年度個人申請管道入學生之學測級分、書審分數、面試分數與入學後學業成績之相關研究,現今台灣教育體制多元化，而本研究旨在探討入學管道與學業表現的關聯，將每位學生各學期之各科成績加總，以平均PR值及修課變異進行分析，並找出其他顯著影響學習成績的變數，另外加以探討書審成績、面試成績與學業表現相關性。觀察入學一年新生之表現，入學管道與性別有顯著的影響，以繁星推薦生及女性表現最佳，私立高中表現相對較差，而在學測成績分組當中，小於Q1之組別明顯表現最差，其餘三個組別沒有顯著差異。再者，觀察107年入學學生之長期學業表現，無論平均PR值或修課變異，入學管道與性別皆有顯著影響，且繁星推薦生表現最優異，女性普遍優於男性，若以學測成績分組而言，第四組學生表現明顯最差，而家庭經濟狀況清寒之學生表現最優異。觀察長期趨勢，以高工職以及家庭狀況清寒、貧困學生之波動度較大，其餘變數之波動趨勢則較相似。此外，就書審及面試成績而言，統計系及中文系呈高度相關，法律系司法組及財經法組則無關，而書審成績與在校表現相關性最高的為財政系與會計系，另外，面試成績與在校表現普遍無關，僅中文系與金融系呈現低度相關。
110,4,馬國勳,新冠疫情下，遠距教學對於外籍生與社經處境不利學生學習成效之影響初探評估,本文的主要研究目的，將特別聚焦於就讀於本校的境外生，了解他們在參與遠距教學與學習歷程方面的經歷。藉以探討，疫情下的遠距教學，是否會負面影響境外生的在校學習表現與情況。具體而言，本文嘗試探討以下五個問題：<1> 自2021年五月期間（109學年度第二學期），課程全面改採遠距，本校學生在參與遠距教學的實際狀況、反應與滿意度如何？在境外生與本國生的眼中，遠距教學分別有哪些的優、缺點？ <2> 本文想進一步了解，來自於不同國籍與社會環境的境外生，對於遠距教學的滿意度與參與情況，有哪些差異？ <3> 在2020年上半段（108學年度第二學期），疫情剛爆發的初期，有一些港、澳與陸為首的境外生無法順利返台，只能滯留在海外參與遠距。對他們而言，108-2的遠距課程參與經驗，是否和109-2有明顯的不同？ <4> 遠距課程對於家庭與經濟背景不利的學生所帶來的負面影響，是否比較大？ <5> 具體上，何種課程規劃、設計與形式的遠距課程所產生的學習效果比較佳？本研究的分析資料，乃以問卷調查資料為主，質性文字紀錄以及深度訪談資料為輔。透過這些量化與質化資料的分析與詮釋，來探討以上五個重要的研究問題。透過本文的研究發現與結果整理，希望能夠幫助校方以及各系所師長能了解：不論就境外生或本國生而言，在參與遠距教學過程中常遭遇那些問題。
110,5,陳易甫,臺北大學跨域學習與主題式教學之後續研究,本年度校務研究持續探討臺北大學學生跨域學習的情況。利用臺北大學學生的修課資料、各學程認證的取得資料及各學程的科目規劃表，本研究探討下列兩個問題：跨域學習與學系之間的關連為何及某一學程其認證取得情形與潛在客源。在跨域學習與學系的關連性上，本研究發現與輔系、雙主修相比，近年（108-109學年）學分學程的修習情況應該會逐漸成為主流。然而，這個情況只發生在部分的學系中。其次，從學程與學系的親近性來看，我們看到不同學程的經營方針。有些學程採取的是廣納百川的方式，廣納各系的學生。然而，也有部分的學程是以學系的專業作為考量，僅能吸收該學系的學生來修習。在客源分析上，本研究也發展出一套分析學分學程潛在客源的分析程序。學程召集人可以從學生修課資料與學程課程表可以細部的觀察學程設計上需要再加強的地方，並從中找尋可能的「客源」。本研究也期望學校能夠開發類似的客源系統，提供給學程召集人及學生之用。
110,6,黃怡婷,本校世界大學排名提升策略之研究,教師教學與研究狀況為大學排名的重要依據，為提升學校教學與研究的質與量，兩者間的關係長久以來備受關注。而各學校的教師其在教學和研究工作的比重也會有所不同，本研究的研究目的為探討教師教學與研究之間的關係，以及增加本校哪些研究結果可以有助於提升排名。可針對研究計畫給予教師補助或獎勵，以鼓勵教師在研究領域的動機，進而提高本校在各項排名指標的表現。<br><br>本計畫透過國立臺北大學教師之基本資料、五年教學時數、五年期刊發表及教學負荷、計畫核定等資料，整理出教學負荷與研究表現等指標進行分析。首先針對教師各項基本變數、研究型資料、授課時數資料、國際合作論文做敘述性統計，接著針對教師基本變數、論文發表情況與教學負荷做統計分析，並分學院觀察其分布情形。在教師基本變數的部分，除了最高學歷國家其教學負荷無顯著差異，其餘教師基本變數的教學負荷皆有顯著差異。將教學負荷和教師基本變數的做迴歸分析，發現教師年資和發表論文數在模型中為顯著估計值，對教學負荷有顯著影響。而後以科技部計畫的件數和經費與教師基本變數建構模型，電機資訊學院的教師其科技部計畫總經費為各學院中最高，其中人文學院和商學院與電機資訊學院的教師相比，其科技部計畫經費有顯著的較少。和其他學校相比，本校在各年的科技部計畫核准經費皆較低。科技部計畫件數的部分，在各年皆比其他學校低，本校研究員人數亦為最少。
110,7,魏嘉宏,精進本校跨領域及公部門合作研究推動策略之研究,為精進本校跨領域及公部門合作研究之推動，本研究分別針對「議題1：如何調動校內教研人員執行公部門研究案之積極性」以及「議題2：如何以首選合作對象來取得公部門的研究計畫案」進行探討。議題1是以問卷調查來初步瞭解本校教研人員對共組跨領域合作研究團隊的考量與激勵因素；在問卷設計中提出五大問項，並以李克特五點尺度量表衡量。全校教研人員問卷調查，回收率達16%；而議題2是對曾參與、執行、規劃公部門研究合作案的校外組織管理層進行深度訪談，由此更有助於深入瞭解其他組織的接案流程與獎勵機制。受訪對象共4位，時長為40分鐘~60分鐘。彙整問卷調查與深度訪談之結果，本研究針對議題1與議題2提出9點策略 (1)建立活動場域聯結各領域教研人員 (2)尋找合適的計畫主持人 (3)收錄、分類歷年投標計畫書範本以提高公部門計畫申請通過率 (4)簡化校內行政流程，讓教研人員專注案源 (5)提供標案制式文件  (6)共組跨領域團隊對外輸出能量 (7)建構研究能量對外展示平台 (8)收集案源資訊 (9)協同合作校外組織。
110,8,吳宜珍,臺北大學學術拔尖暨特色領域補助型計畫之相關研究,"「學術拔尖計畫」以及「特色領域計畫」(合稱「補助型計畫」)為本校提昇研究能量及競爭力的重要激勵計畫，經費規模3年3,000萬元。但近2年來申請人數遞減，業務主管單位(研發處)欲檢視補助型計畫是否具改善空間及如何改進，以使有限的資源更精確地投入教師研究。因此本研究目的希望藉由曾執行「學術拔尖暨特色領域計畫」教師之經驗回饋，作為學校激勵育才計畫之政策進步指引。研究架構藉由相關文獻瞭解影響大學教師研究之因素；再由內外部數據資料進行補助型計畫之成效分析，最後，施行問卷調查蒐集曾執行計畫的教師對本校補助型計畫之評選機制看法。結果顯示，利用教育部公開資料進行成效分析，本校補助型計畫實施後，平均每師承接政府部門之研究計畫經費增加約10%，達成爭取政府部門經費之效。然近年來各大學對外申請的研究計畫經費逐年大幅增加，顯示外部競爭環境加劇。本校平均教師承接研究經費仍排序在一般國立大學25%以下，對於爭取外部研究計畫經費尚有努力空間。問卷調查結果顯示，曾執行「補助型計畫」校內教師高度認同「學術拔尖與特色領域計畫」對於校內的「跨域」、「研究風氣」、「論文發表」、「創新研究」已獲得預期成果。但對於申請人員資格/條件屬低共識度，建議調整人員申請門檻及限制條件，以增加教師參與之意願。執行與管考方面，建議增列執行期滿後投稿論文至著名學術期刊研究成果之選項。整體而言，補助型計畫對於校內研究有助益，希望持續發展，若能突破組織團隊不易之困境，將有助於本校研究跨域合作產生新的研究火花。"
109,1,陳澤義,進修學士班學生學習動機、成果、滿意度與生涯規劃之調查研究,"本計畫旨在探討國立壹北大學進修學士班，在學學生的就讀動機與擧習滿意度之相關情形，即探究進修學士班學生的學習動機、學習成果、學習滿意度與生涯規劃之內涵。<br><br>本研究計畫係採用問卷調查法，並以一零九學年度進修學士班九個系所，全體在學生為問卷調查的研究對象。在全部進修部學生人數2128人中，本計劃在2020 年取得 1260份有效樣本，占 59.21%，問卷結果深具代表性。透過SPSS 統計軟體分析，結果頭示學生的學習動機與便利動機影響滿意度的三大因素是(a)求知慾、(b)時間可配合、(C學校聲譽;至於影響不满意度的兩大因素則是(a)不符工作需要、(b)無法提升工作能力。在學習挑戰方面，學生碰到的困難是(a)無法掌握學習方式;（b)不喜歡學科內容：(C)學校上課時問配合問題。在個別院與年級中，一二年級對於求知欲與提升能力上最滿意，三四年級對於時間配合與學校聲譽上最滿意。一二年級對於工作需要上最不滿意。在個別學院中，法學、商學與社科院對於求知慾最滿意，各學院均對於時間配合與學校聲譽上最滿意。
法學奥社科院在工作需要上最不滿意，法學與商學院在提升能力上最不滿意。"
109,2,陳易甫,臺北大學跨域學習與主題式教學現狀分析,"在109年度的校務研究計查中，本人探討臺北大學學生跨城學習的現狀。本校跨域舉習的樣態有雙主修、輔系及學分學程的認證。本計畫以臺北大2005-2019 年的學校務資料進行分析。在雙主修方面，法律系、企管與會計為跨域學習的最大宗，而法律、經濟與企管則是學生取得輔系認證的最愛。其次，行政系、不動產系與經濟系有較多的學生取得雙學位的認證，而法律、企管與經濟系則有較多的學生取得輔系的認證。經過交又的比對，可以發現學生雙主修與輔系的取得有其相輔與相容性的考量。在學分學程方面，本研究以2007-2018 年間學士學分
學程認證取得數進行探究。結果發現本校學分學程在主題上頗為多元，足以提供學生豐富的選擇。整體取得數上，以商學院的學程取得數最多，法學院居次。結果也發现部分學程成立時間相當的久，然而取得數卻只有個位數宇而已，值得校方的重視。最後，分析結果也發現，學分學程在課程上的設計 （如選修的佔比、每年開課的課程涵蓋率與課程跨域度）有助於認證的取
得數。這值得學程召集人在設計學程時注意。"
109,3,胡中宜,大學新生憂鬱、自傷、自殺意念調查分析：2017-2020年,
109,4,黃怡婷,本校教師與學生影響力與大學排名關聯分析,教學及研究是大學老師兩個主要工作面向，世界大學排名主要也依據這兩個面向指標。這兩個面向之關聯性會因為學校屬性而有不同，本研究會探討本校教師教學與研究能量之間的關係，在時間與資源有限下，若可以訂定合適本校的獎助措施，優化排名指標變成非常重要。<br><br>本計畫透過國立臺北大學教師之基本資料、五年教學時數、五年期刊發表及教學負重、計畫核定等資料，整理出教學負重與研究表現等指標進行分析。使用叙述性統計對本校教師的教學及研究概況進行呈現，以觀察各學院近五年教師的研究成果與授課負重，並且觀察近五年有無進行相關研究之教師在授課方面之趨勢。各擧院教師平均授課負重之方面，人文學院、法律學院、商學院、電機資訊學院之授課負重皆大於0小時，而公共事務學院和社會科學學院在近五年授課負重有小於0之情形。科技部計畫的平均通過件數的方面，電機資訊學院為最多，法律學院次之。教師平均發表論文總數，近五年以法律學院為最多，商學院與電機資訊學院次之。於每位教師平均發佈 I 期刊篇數的部分，則以電機資訊學院最高，商學院次之。再者，有無發表論文與授課負重的關聯探討，公共事務學院、法律學院、商學院、電機資訊學院有發表論文之教師，授課負眾較重；人文學院為無發表論文之授課負重較重。此外，有無申請科技部計畫與授課負重之關聯中，以法律學院、電機資訊學院有申請科技部計畫之授課負重也較高；人文學院和商學院則為無申請科技部計畫之授課負重均較高。
109,5,詹昀姍,國際移動經驗與職場競爭力之因果關係研究與國際移動經驗之整體效益評估,因應全球快速變遷與人才競爭態勢，各大專院校積極與國際知名院校簽署學術交流合作協定，其中最常見的是提供學生短期交換及雙聯學位計畫。本研究將探村本校學生參與國際交流計畫(短期交換或雙聯學位）對其職涯發展及國際競爭力之關連性，內容包含：國際交流與職涯規畫、國際交流與就業狀況、國際交流與就業國際化。研究結果將有助於評估参與國際交流對臺北大學學生事業能力及就業競爭力之影響。
109,6,王明聖,教師支持與精進-教學品質與研究產能的關係,針對大學教授在教學與研究之間關係，許多研究呈現出不一致的結果，有研究認為教學與研究之問是存在著「競爭街突」的關係(因為花在研究與教學的時間會相互抵銷），也有研究指出兩者之間「没有任何」的關係，更有研究指出研究與教學是彼此「合作」的關係，將研究帶進教學往往能讓學生獲得最新領域的學習。為了回答這個問題，本校務研究透過多變項量化模型分析臺北大學教師教學(學生對教師的教學評鑑分數標準化/相對於系所的平均教學評鑑分數)與研究(老師每年發表期刊專書的研究獎勵金額)等內部相關資料，並佐以質性訪談(學術副校長、院長及研究優良教師)來初步探討教學興硏究的開係。其中量化研究發現教學興研究之間沒有關係。在影響教學方面:老師的授課時數越多會負面地影響到學生對老師的教學評鑑分數；在影響研究方面：老師申請到科技部的經費較多、年齡越年輕(相對於較長者）、副教授以上(相對於助理教授)相對也較有可能獲得期刊專書的研究獎勵金額(代表研究越強)。而質性訪談發現，助理教授階段越早獲得科技部經費與有團隊或研究導師的協助，都會正面地讓年輕學者有更多的研究能量與文章發表的可能， 本校鼓勵老師研究與教學的相關制度也在此進行評佔討論。
109,7,蘇南誠,畢業後表現與UCAN興趣探索、入學管道、課外參與、學業成績的關聯性分析,教育部推出 UCAN 就業職能平台希望協助大專生認識自己職能所需具備的能力，本校 104 學年開始大一新生於入學時全面進行施測，本計畫希望了解UCAN 調查結果可否提升學生學習成效，提供職涯發展中心未來規劃相關職能活動的参考。<br><br>整合 UCAN 調查結果、學生課程表現、學生學習參與與學生畢業流向調查的資料，本計畫設定學業成績 PR值與畢業後即投入職場工作兩個層面為學生學習成效，將UCAN 調查結果與學生學習參與視為解釋變數，採用因素分析將 16個 UCAN 構面整合成人文與理工指標，使用迴歸模型與結構方程模型來評估變數間之關聯情況。<br><br>對於畢業是否投入職場工作，以繁星入學學生有較高機率畢業投入職場工作，而人文指標分數較高、参加過職涯相關活動的學生有較高機率畢業投入職場，說明校園舉辦相關講座及說明會對於未來工作具備一定程度的成效。對於學生在校成績方面，若學生在校成績越好，對於學生畢業投入職場工作具有反向影響，說明學生成績越好，未來發展可能會繼續升學或進修等其他計畫。本計畫係以提供教學資源應用與未來教學方向參考之依據，建議投入適當的校園輔導教學資源，以期學生所學能學以致用並且增加投入職場後的職能。
109,8,吳宜珍,臺北大學對未來大學的想像,為瞭解校內教師對未來校務整體看法與創新想法，本校李校長特別指示 IR 辦公室執行專案研究，辦理全校專任教師間卷調查，以利回饋到學校未來政策的制定。據此，IR辦公室規劃研究架構藉由相關文獻史料瞭解高教精神脈絡以及臺灣教育政策的轉變、現今教育所面臨的全球化挑戰：再由數據資料進行臺北大學環境分析，最後，實行問卷調查(量化)以及深度訪談(質化）苑集本校教師對未來大學之看法。環境分析面向採用教育系統模式(輸入、過程、輸出)三個面向，以多元尺度分析法進行，評估臺北大學在三面向的辦學表現。競爭態勢分析結果顯示教學、學生多元學習為臺北大學的優勢。全校專任教師問卷調查，回收率達34%，獲得未來人才、未來學習方式、未來教學方式、未來學校機制等之共識。未來人才特質應重視(1)問題分析及解決問題的能力，(2)學習如何思考、（3)跨文化溝通交流與整合的能力；未來學習方式應重視 (1)跨領城學習，(2)多元職業探索課程；未來教學方式應重祝 (1) 講授教學，(2）創新思考教學，以學習者為中心，（3）實作教學：未來學校機制應重視終身學習，讓大學成為開放的學習中心。未來是跨領域時代，多元學習為臺北大學優勢，建議持續發展成臺北大學特色，加強人與人之間的互動，創造新的跨領域火花
108,1,蘇南誠<br>黃怡婷,探討畢業生流向調查與UCAN如何引導學生提升就業力,國立臺北大學畢業生流向調查已經收集近 10 年畢業生畢業後的就業情況，歷年的調查報告都只針對單年度的畢業生，本研究串連100 與 101 年畢業校友畢業一年、三年與五年之資料，並與其在學修課表現合併，並加入使用學校資源情況等變項，試圖了解在學情況與就業的關聯。<br><br>本研究串聯三次畢流調查後發現約 2 成畢業校友從未回覆過問卷，該部分的校友在學表現差異較大。使用有回覆校友的資料，有四成二的畢業生於畢業一年後有全職工作，畢業三年有全職工作上升至七成，畢業五年僅一成校友尚無全職工作。運用隨機截距模型建立長期薪資的預測模型，建模結果發現校友的起薪與隸屬學院與在校表現有關，其中以商學院校友且在校表現佳起薪較高，隨畢業年度愈多，薪資顯著線性成長，但隨性別不同變動趨勢明顯不同，男性畢業生薪水增加幅度較女性快。<br><br>由研究成果發現在校表現確實會與起薪有關，但因本次研究使用早期畢業生的資料，缺乏學生參與國際交換與企業實習的資料，未來若可以納入該部分，可以了解與企業接軌，以及國際化指標的效果。
108,2,胡中宜,大學生心理健康調查分析：2017-2019年,
108,3,陳婉琪,社團參與對未來職場表現之影響,許多國內外文獻指出，社團參與對大學生未來的職涯發展可能扮演舉足輕重的角色。一方面，社團參與提供了學生在課堂外自主學習參與的經驗與機會，如人際關係、實務工作能力等，進而提升其個人價值。另一方面，部分研究也指出，過度地參與社團活動有可能導致學生無法專注於課業上，進而造成其課業低落。本報告結合國立臺北大學資訊中心所提供之校務資料（90至104學年度）與2012至16年國立臺北大學大學部畢業學生的畢業流向調查資料，試圖瞭解大學部學生參與社團的決定性因素，以及社團參與對畢業滿一年之後的薪資之影響程度為何。本報告結果顯示，學生之性別、畢業年份，以及入學時的學測總級分皆對社團參與沒有顯著影響。然而部分科系（如社工系）的學生可能較熱衷參與社團。除此之外，本報告也發現社團參與對學生在校時的學業表現與未來薪資沒有顯著影響。然而，一但將學生分為「社團活躍且課業佳」、「社團活躍但課業差」、「課業佳但社團不活躍」，以及「兩種都未有積極表現」四類後，本報告發現，社團參與程度高對於未來薪資可能有負面影響。未來學校可能需要留意學生在課業與社團參與上之平衡發展。
108,4,陳易甫,適性選才、學業中斷與學業表現的後續分析,在107年度的校務研究計畫中，本人探討臺北大學選才標準與學生學業中斷的關連。具體的研究主題在於探討入學學測分數、最小篩選倍數科目與檢定標準與休學與退學的關連。雖然已經對學生學業中斷的情況有清楚的描述，然而，這樣的發現有其限制。由於研究者取得的資料缺乏學生休學或退學的時間，無法進一步探究學生停留時間與選才標準的關連。此外，除了學業中斷的現象外，學校各科系的選才標準與學生在校的表現的連結亦是另一個值得探討的議題。在不同的標準下選進來的學生，在學業表現上是否有所差異，是一個需要實證資料回答的問題。是故，本年度延續前期計畫並採用更為細緻的分析方法探討選才機制與學業中斷之間的關連並加入探討選才機制與學生在校表現的關連。結果顯示，在學業中斷上，具有明確影響力的篩選標準為國文。在控制多個相關變項的情況下，當系所未設定國文為篩選標準時，其學生有較高的學業中斷的可能性。除此之外，其他選才標準對學業中斷並沒有統計上顯著的影響。在學業成績上，在未控制選才標準對學業表現有統計顯著的影響，然而，在控制了入學管道、學測成績與性別後，這些效果就消失了，顯示兩者為虛假的關連。依據兩年的研究發現，本研究做出校務上的建議。
108,5,林茂廷,群聚修課、學生背景與學習表現,
108,6,傅健豪,學生來源與畢業流向以教育機會觀點分析多元入學方案影響,本研究探討入學管道與學生背景對就學狀況與畢業選擇的影響。利用2001-2018年校務資料及20130-2018年畢業生流向問卷調查，檢視學生來源、家庭背景、就學表現，及畢業後升學決策與初職狀況之差異。針對城鄉學生及來源地所得，比較其就學與就業表現，以追蹤近年招生模式改革產生之生源變化，對學習成效及初職表現的影響。<br><br>研究成果發現，繁星及申請入學有助於分散入學生的區域集中度，使更多來自非都會區或中低所得區域的學生進入臺北大學，其中又以繁星推薦增進弱勢生入學機會的效果最為明顯。此外，透過繁星推薦與申請入學之學生，在學表現皆較好，此結果與過往研究成果一致。但不論入學管道，來自中、低所得地區的學生，在控制學測成績後，就學後表現仍較好，且此現象在多元入學擴大實施後，才逐漸浮現。<br><br>入學管道或學生來源地區，則與畢業生的升學決策或大多數初職狀況沒有明顯的直接關係，如預期地，升學決策與部份初職表現，主要仍與在學成績較直接相關。但來自低都市化地區的學生，在畢業一年後仍待業的比例較其他地區的學生高。此外，來自弱勢家庭的畢業生，尋得初職的時間也較長。這些現象顯示，家庭資源與成長背景仍有可能影響學生的求職過程，其原因或個別差異性值得進一步探究。最後，上述結果在院系間存在明顯差異，因此各系選才模式是否影響學生來源及其就學後的配適度，值得後續研究探討。
